,Unnamed: 0,name,stars,cuisine,retrieve-date,name2,json,name_google_0,place_id_0,formatted_address_0,business_status_0,lat_0,lng_0,name_google_1,place_id_1,formatted_address_1,business_status_1,lat_1,lng_1,url_0,url_1
0,0,1. Goodfellas Wood Oven Pizza,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:40.484368-04:00,Goodfellas Wood Oven Pizza,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1 Old Mill Dr, York, ON M6S 0A1, Canada', 'geometry': {'location': {'lat': 43.6482211, 'lng': -79.4865442}, 'viewport': {'northeast': {'lat': 43.64970152989272, 'lng': -79.48478742010727}, 'southwest': {'lat': 43.64700187010727, 'lng': -79.48748707989272}}}, 'name': 'Goodfellas Wood Oven Pizza', 'place_id': 'ChIJedJ0GGI2K4gR6dco_CjRntY', 'rating': 4.3}]",Goodfellas Wood Oven Pizza,ChIJedJ0GGI2K4gR6dco_CjRntY,"1 Old Mill Dr, York, ON M6S 0A1, Canada",OPERATIONAL,43.6482211,-79.4865442,,,,,,,"https://www.google.com/maps/search/?api=1&query=Goodfellas Wood Oven Pizza,43.6482211%2C-79.4865442&query_place_id=ChIJedJ0GGI2K4gR6dco_CjRntY",
1,1,2. Moxie's Grill & Bar,4.5 of 5 bubbles,"Grill, Bar",2021-08-09 19:15:40.732702-04:00,Moxie's Grill & Bar,"[{'business_status': 'OPERATIONAL', 'formatted_address': '70 University Ave, Toronto, ON M5J 2M4, Canada', 'geometry': {'location': {'lat': 43.6466503, 'lng': -79.3847555}, 'viewport': {'northeast': {'lat': 43.64807897989272, 'lng': -79.38318157010728}, 'southwest': {'lat': 43.64537932010727, 'lng': -79.38588122989273}}}, 'name': ""Moxie's Grill & Bar"", 'place_id': 'ChIJ7XMHydM0K4gRpKItDSOPH9w', 'rating': 4.1}]",Moxie's Grill & Bar,ChIJ7XMHydM0K4gRpKItDSOPH9w,"70 University Ave, Toronto, ON M5J 2M4, Canada",OPERATIONAL,43.6466503,-79.3847555,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moxie's Grill & Bar,43.6466503%2C-79.3847555&query_place_id=ChIJ7XMHydM0K4gRpKItDSOPH9w",
2,2,3. New Orleans Seafood & Steakhouse,4.5 of 5 bubbles,"Steakhouse, Cajun & Creole",2021-08-09 19:15:40.732702-04:00,New Orleans Seafood & Steakhouse,"[{'business_status': 'OPERATIONAL', 'formatted_address': '267 Scarlett Rd, York, ON M6N 4K9, Canada', 'geometry': {'location': {'lat': 43.6777556, 'lng': -79.5062458}, 'viewport': {'northeast': {'lat': 43.67906047989273, 'lng': -79.50499887010727}, 'southwest': {'lat': 43.67636082010728, 'lng': -79.50769852989272}}}, 'name': 'New Orleans Seafood & Steakhouse', 'place_id': 'ChIJ466I-9o2K4gRxzeisSIQUzg', 'rating': 4.7}]",New Orleans Seafood & Steakhouse,ChIJ466I-9o2K4gRxzeisSIQUzg,"267 Scarlett Rd, York, ON M6N 4K9, Canada",OPERATIONAL,43.6777556,-79.5062458,,,,,,,"https://www.google.com/maps/search/?api=1&query=New Orleans Seafood & Steakhouse,43.6777556%2C-79.5062458&query_place_id=ChIJ466I-9o2K4gRxzeisSIQUzg",
3,3,4. Scaramouche Restaurant,4.5 of 5 bubbles,"French, International",2021-08-09 19:15:40.732702-04:00,Scaramouche Restaurant,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1 Benvenuto Pl, Toronto, ON M4V 2L1, Canada', 'geometry': {'location': {'lat': 43.6815023, 'lng': -79.3999013}, 'viewport': {'northeast': {'lat': 43.68297687989272, 'lng': -79.39875502010727}, 'southwest': {'lat': 43.68027722010728, 'lng': -79.40145467989272}}}, 'name': 'Scaramouche Restaurant', 'place_id': 'ChIJrxCATO8zK4gRHe57JQWul2Q', 'rating': 4.7}]",Scaramouche Restaurant,ChIJrxCATO8zK4gRHe57JQWul2Q,"1 Benvenuto Pl, Toronto, ON M4V 2L1, Canada",OPERATIONAL,43.6815023,-79.3999013,,,,,,,"https://www.google.com/maps/search/?api=1&query=Scaramouche Restaurant,43.6815023%2C-79.3999013&query_place_id=ChIJrxCATO8zK4gRHe57JQWul2Q",
4,4,5. ALO RESTAURANT,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:40.732702-04:00,ALO RESTAURANT,"[{'business_status': 'OPERATIONAL', 'formatted_address': '163 Spadina Ave., Toronto, ON M5V 2L6, Canada', 'geometry': {'location': {'lat': 43.6484905, 'lng': -79.39594149999999}, 'viewport': {'northeast': {'lat': 43.64984032989272, 'lng': -79.39459167010727}, 'southwest': {'lat': 43.64714067010728, 'lng': -79.39729132989271}}}, 'name': 'Alo', 'place_id': 'ChIJryijc9s0K4gRG9aU7SDTXdA', 'rating': 4.7}]",Alo,ChIJryijc9s0K4gRG9aU7SDTXdA,"163 Spadina Ave., Toronto, ON M5V 2L6, Canada",OPERATIONAL,43.6484905,-79.39594149999999,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alo,43.6484905%2C-79.39594149999999&query_place_id=ChIJryijc9s0K4gRG9aU7SDTXdA",
5,5,6. The Tilted Dog Pub & Kitchen,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:15:40.732702-04:00,The Tilted Dog Pub & Kitchen,"[{'business_status': 'OPERATIONAL', 'formatted_address': '424 Parliament St, Toronto, ON M5A 3A2, Canada', 'geometry': {'location': {'lat': 43.6628706, 'lng': -79.3676929}, 'viewport': {'northeast': {'lat': 43.66422042989273, 'lng': -79.36634307010728}, 'southwest': {'lat': 43.66152077010729, 'lng': -79.36904272989273}}}, 'name': 'The Tilted Dog Pub & Kitchen', 'place_id': 'ChIJf4hIwkXL1IkR1FE_9q56MKQ', 'rating': 4.5}]",The Tilted Dog Pub & Kitchen,ChIJf4hIwkXL1IkR1FE_9q56MKQ,"424 Parliament St, Toronto, ON M5A 3A2, Canada",OPERATIONAL,43.6628706,-79.3676929,,,,,,,"https://www.google.com/maps/search/?api=1&query=The Tilted Dog Pub & Kitchen,43.6628706%2C-79.3676929&query_place_id=ChIJf4hIwkXL1IkR1FE_9q56MKQ",
6,6,7. LaVinia Restaurant,4.5 of 5 bubbles,"Mediterranean, Spanish",2021-08-09 19:15:40.732702-04:00,LaVinia Restaurant,"[{'business_status': 'OPERATIONAL', 'formatted_address': '2350 Lake Shore Blvd W, Etobicoke, ON M8V 1B6, Canada', 'geometry': {'location': {'lat': 43.616382, 'lng': -79.48812559999999}, 'viewport': {'northeast': {'lat': 43.61768782989272, 'lng': -79.48667312010728}, 'southwest': {'lat': 43.61498817010727, 'lng': -79.48937277989272}}}, 'name': 'LaVinia Restaurant', 'place_id': 'ChIJHwcmTRk2K4gRm85aUecgRe8', 'rating': 4.6}]",LaVinia Restaurant,ChIJHwcmTRk2K4gRm85aUecgRe8,"2350 Lake Shore Blvd W, Etobicoke, ON M8V 1B6, Canada",OPERATIONAL,43.616382,-79.48812559999999,,,,,,,"https://www.google.com/maps/search/?api=1&query=LaVinia Restaurant,43.616382%2C-79.48812559999999&query_place_id=ChIJHwcmTRk2K4gRm85aUecgRe8",
7,7,8. Rasa,4.5 of 5 bubbles,"Canadian, International",2021-08-09 19:15:40.732702-04:00,Rasa,"[{'business_status': 'OPERATIONAL', 'formatted_address': '196 Robert St, Toronto, ON M5S 2K7, Canada', 'geometry': {'location': {'lat': 43.6628197, 'lng': -79.4041012}, 'viewport': {'northeast': {'lat': 43.66418917989272, 'lng': -79.40265347010728}, 'southwest': {'lat': 43.66148952010727, 'lng': -79.40535312989273}}}, 'name': 'RASA', 'place_id': 'ChIJmzR9dJU0K4gRj44f61gBfss', 'rating': 4.6}]",RASA,ChIJmzR9dJU0K4gRj44f61gBfss,"196 Robert St, Toronto, ON M5S 2K7, Canada",OPERATIONAL,43.6628197,-79.4041012,,,,,,,"https://www.google.com/maps/search/?api=1&query=RASA,43.6628197%2C-79.4041012&query_place_id=ChIJmzR9dJU0K4gRj44f61gBfss",
8,8,9. Pai Northern Thai Kitchen,4.5 of 5 bubbles,"Asian, Thai",2021-08-09 19:15:40.732702-04:00,Pai Northern Thai Kitchen,"[{'business_status': 'OPERATIONAL', 'formatted_address': '18 Duncan St, Toronto, ON M5H 3G8, Canada', 'geometry': {'location': {'lat': 43.6478528, 'lng': -79.3887403}, 'viewport': {'northeast': {'lat': 43.64922587989272, 'lng': -79.38728332010727}, 'southwest': {'lat': 43.64652622010728, 'lng': -79.38998297989272}}}, 'name': 'PAI', 'place_id': 'ChIJ1ZGZKNk0K4gRaouNzuptWV8', 'rating': 4.6}, {'business_status': 'OPERATIONAL', 'formatted_address': '95 Queen Elizabeth Blvd, Etobicoke, ON M8Z 1P3, Canada', 'geometry': {'location': {'lat': 43.6237845, 'lng': -79.5123625}, 'viewport': {'northeast': {'lat': 43.62496907989271, 'lng': -79.51094127010728}, 'southwest': {'lat': 43.62226942010727, 'lng': -79.51364092989273}}}, 'name': 'PAI Northern Thai Kitchen Hub', 'place_id': 'ChIJqz8N5ac3K4gRwUYsFuXl4Sk', 'rating': 3.9}]",PAI,ChIJ1ZGZKNk0K4gRaouNzuptWV8,"18 Duncan St, Toronto, ON M5H 3G8, Canada",OPERATIONAL,43.6478528,-79.3887403,PAI Northern Thai Kitchen Hub,ChIJqz8N5ac3K4gRwUYsFuXl4Sk,"95 Queen Elizabeth Blvd, Etobicoke, ON M8Z 1P3, Canada",OPERATIONAL,43.6237845,-79.5123625,"https://www.google.com/maps/search/?api=1&query=PAI,43.6478528%2C-79.3887403&query_place_id=ChIJ1ZGZKNk0K4gRaouNzuptWV8","https://www.google.com/maps/search/?api=1&query=PAI Northern Thai Kitchen Hub,43.6237845%2C-79.5123625&query_place_id=ChIJqz8N5ac3K4gRwUYsFuXl4Sk"
9,9,10. Richmond Station,4.5 of 5 bubbles,"American, International",2021-08-09 19:15:40.732702-04:00,Richmond Station,"[{'business_status': 'OPERATIONAL', 'formatted_address': '1 Richmond St W, Toronto, ON M5H 3W4, Canada', 'geometry': {'location': {'lat': 43.6514536, 'lng': -79.3794917}, 'viewport': {'northeast': {'lat': 43.65285347989272, 'lng': -79.37822187010728}, 'southwest': {'lat': 43.65015382010727, 'lng': -79.38092152989273}}}, 'name': 'Richmond Station', 'place_id': 'ChIJJZP2IzPL1IkRoIXM5dEE9ck', 'rating': 4.7}]",Richmond Station,ChIJJZP2IzPL1IkRoIXM5dEE9ck,"1 Richmond St W, Toronto, ON M5H 3W4, Canada",OPERATIONAL,43.6514536,-79.3794917,,,,,,,"https://www.google.com/maps/search/?api=1&query=Richmond Station,43.6514536%2C-79.3794917&query_place_id=ChIJJZP2IzPL1IkRoIXM5dEE9ck",
