,name,stars,cuisine,retrieve-date
0,1. Goodfellas Wood Oven Pizza,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:40.484368-04:00
1,2. Moxie's Grill & Bar,4.5 of 5 bubbles,"Grill, Bar",2021-08-09 19:15:40.732702-04:00
2,3. New Orleans Seafood & Steakhouse,4.5 of 5 bubbles,"Steakhouse, Cajun & Creole",2021-08-09 19:15:40.732702-04:00
3,4. Scaramouche Restaurant,4.5 of 5 bubbles,"French, International",2021-08-09 19:15:40.732702-04:00
4,5. ALO RESTAURANT,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:40.732702-04:00
5,6. The Tilted Dog Pub & Kitchen,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:15:40.732702-04:00
6,7. LaVinia Restaurant,4.5 of 5 bubbles,"Mediterranean, Spanish",2021-08-09 19:15:40.732702-04:00
7,8. Rasa,4.5 of 5 bubbles,"Canadian, International",2021-08-09 19:15:40.732702-04:00
8,9. Pai Northern Thai Kitchen,4.5 of 5 bubbles,"Asian, Thai",2021-08-09 19:15:40.732702-04:00
9,10. Richmond Station,4.5 of 5 bubbles,"American, International",2021-08-09 19:15:40.732702-04:00
10,11. Jacobs & Co. Steakhouse,4.5 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:40.732702-04:00
11,12. Jacques Bistro Du Parc,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:40.732702-04:00
12,13. Miku,4.5 of 5 bubbles,"Sushi, Japanese",2021-08-09 19:15:40.732702-04:00
13,14. Michael's on Simcoe,4.5 of 5 bubbles,Steakhouse,2021-08-09 19:15:40.732702-04:00
14,15. Madrina Bar Y Tapas,4.5 of 5 bubbles,"Mediterranean, European",2021-08-09 19:15:40.732702-04:00
15,16. GEORGE Restaurant,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:40.732702-04:00
16,17. Cafe Polonez,4.5 of 5 bubbles,"Polish, European",2021-08-09 19:15:40.732702-04:00
17,18. Chiado Restaurant,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:40.732702-04:00
18,19. Sportsnet Grill,4.5 of 5 bubbles,"American, Bar",2021-08-09 19:15:40.732702-04:00
19,20. Stelvio,4.5 of 5 bubbles,"Italian, European",2021-08-09 19:15:40.732702-04:00
20,21. Rodney's Oyster House,4.5 of 5 bubbles,"Seafood, Canadian",2021-08-09 19:15:40.732702-04:00
21,22. Adega,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:40.732702-04:00
22,23. Olde Yorke Fish & Chips,4.5 of 5 bubbles,"Seafood, British",2021-08-09 19:15:40.733699-04:00
23,24. House on Parliament,4.5 of 5 bubbles,"Bar, British",2021-08-09 19:15:40.733699-04:00
24,25. Byblos,4.5 of 5 bubbles,"Lebanese, Moroccan",2021-08-09 19:15:40.733699-04:00
25,26. C'est what?,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:15:40.733699-04:00
26,27. Canoe Restaurant & Bar,4.5 of 5 bubbles,"Canadian, International",2021-08-09 19:15:40.733699-04:00
27,28. The Keg Steakhouse + Bar - Mansion,4.5 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:40.733699-04:00
28,29. The Keg Steakhouse + Bar - Esplanade,4.5 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:40.733699-04:00
29,30. Lee Restaurant,4.5 of 5 bubbles,"Asian, Contemporary",2021-08-09 19:15:40.733699-04:00
30,31. Oyster Boy,4.5 of 5 bubbles,"Seafood, Canadian",2021-08-09 19:15:47.148652-04:00
31,32. DaiLo,4.5 of 5 bubbles,"Chinese, Asian",2021-08-09 19:15:47.148652-04:00
32,33. Lady Marmalade,4.5 of 5 bubbles,Canadian,2021-08-09 19:15:47.148652-04:00
33,34. The Keg Steakhouse + Bar - York Street,4.5 of 5 bubbles,Steakhouse,2021-08-09 19:15:47.148652-04:00
34,35. Antler Kitchen and Bar,4.5 of 5 bubbles,Canadian,2021-08-09 19:15:47.148652-04:00
35,36. Estiatorio VOLOS,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:47.148652-04:00
36,37. Pizzeria Libretto,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:47.148652-04:00
37,38. Fresh On Spadina,4.5 of 5 bubbles,Canadian,2021-08-09 19:15:47.148652-04:00
38,39. STK Toronto,4.5 of 5 bubbles,"Steakhouse, Contemporary",2021-08-09 19:15:47.148652-04:00
39,40. The Carbon Bar,4.5 of 5 bubbles,"American, Bar",2021-08-09 19:15:47.148652-04:00
40,41. Sunset Grill,4.5 of 5 bubbles,"Diner, Canadian",2021-08-09 19:15:47.149649-04:00
41,42. JOEY Eaton Centre,4.5 of 5 bubbles,"American, Bar",2021-08-09 19:15:47.149649-04:00
42,43. Joso's,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:47.149649-04:00
43,44. Trattoria Taverniti,4.5 of 5 bubbles,"Canadian, Italian",2021-08-09 19:15:47.149649-04:00
44,45. Carisma,4.5 of 5 bubbles,"Italian, Mediterranean",2021-08-09 19:15:47.149649-04:00
45,46. Le Select Bistro,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:47.149649-04:00
46,47. Library Bar,4.5 of 5 bubbles,"Bar, Canadian",2021-08-09 19:15:47.149649-04:00
47,48. Grazie Ristorante,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:47.149649-04:00
48,49. Bosk,4.5 of 5 bubbles,"Canadian, Contemporary",2021-08-09 19:15:47.149649-04:00
49,50. Toca,4.5 of 5 bubbles,Italian,2021-08-09 19:15:47.149649-04:00
50,51. Queen Mother Cafe,4.0 of 5 bubbles,Asian,2021-08-09 19:15:47.149649-04:00
51,52. Cora's Breakfast and Lunch,4.5 of 5 bubbles,"American, Canadian",2021-08-09 19:15:47.149649-04:00
52,53. Citrus,4.5 of 5 bubbles,"Canadian, International",2021-08-09 19:15:47.149649-04:00
53,54. Bar Isabel,4.5 of 5 bubbles,Spanish,2021-08-09 19:15:47.149649-04:00
54,55. Hy's Steakhouse Toronto,4.5 of 5 bubbles,"Steakhouse, Canadian",2021-08-09 19:15:47.149649-04:00
55,56. Ramen Isshin,4.5 of 5 bubbles,"Asian, Japanese",2021-08-09 19:15:47.149649-04:00
56,57. Bindia Indian Bistro,4.5 of 5 bubbles,Indian,2021-08-09 19:15:47.149649-04:00
57,58. Kinka Izakaya Original,4.5 of 5 bubbles,"Bar, Japanese",2021-08-09 19:15:47.149649-04:00
58,59. Le Petit Dejeuner,4.5 of 5 bubbles,"Belgian, Cafe",2021-08-09 19:15:47.149649-04:00
59,60. Khao San Road,4.5 of 5 bubbles,"Asian, Thai",2021-08-09 19:15:47.149649-04:00
60,61. Donatello Restaurant,4.5 of 5 bubbles,Italian,2021-08-09 19:15:53.499761-04:00
61,62. Reds,4.0 of 5 bubbles,American,2021-08-09 19:15:53.499761-04:00
62,63. The Keg Steakhouse + Bar - Dixon Road,4.5 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:53.499761-04:00
63,64. Auberge du Pommier,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:53.499761-04:00
64,65. Evviva Restaurant,4.5 of 5 bubbles,"American, Cafe",2021-08-09 19:15:53.499761-04:00
65,66. Kimchi Korea House,4.5 of 5 bubbles,"Asian, Korean",2021-08-09 19:15:53.499761-04:00
66,67. Wvrst,4.0 of 5 bubbles,"International, Grill",2021-08-09 19:15:53.499761-04:00
67,68. Ki Restaurant & Lounge,4.0 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:15:53.499761-04:00
68,69. Patria,4.0 of 5 bubbles,"Latin, Mediterranean",2021-08-09 19:15:53.499761-04:00
69,70. The Shore Club,4.0 of 5 bubbles,"Steakhouse, Seafood",2021-08-09 19:15:53.499761-04:00
70,71. Eggspectation,4.0 of 5 bubbles,"American, Cafe",2021-08-09 19:15:53.499761-04:00
71,72. Hair of the Dog Restaurant & Pub,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:15:53.499761-04:00
72,73. Barberian's Steak House,4.0 of 5 bubbles,"Steakhouse, Canadian",2021-08-09 19:15:53.499761-04:00
73,74. Eggsmart,4.0 of 5 bubbles,"Diner, American",2021-08-09 19:15:53.499761-04:00
74,75. The Blake House,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:15:53.499761-04:00
75,76. Ruth's Chris Steak House,4.0 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:53.499761-04:00
76,77. Bar Raval,4.5 of 5 bubbles,"Spanish, Bar",2021-08-09 19:15:53.499761-04:00
77,78. 360 The Restaurant at the CN Tower,4.0 of 5 bubbles,"Canadian, International",2021-08-09 19:15:53.499761-04:00
78,79. Mezes,4.5 of 5 bubbles,"Mediterranean, Greek",2021-08-09 19:15:53.499761-04:00
79,80. Bar Hop Bar,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:15:53.499761-04:00
80,81. Beerbistro,4.0 of 5 bubbles,"Bar, Canadian",2021-08-09 19:15:53.499761-04:00
81,82. Over Easy,4.0 of 5 bubbles,"American, Canadian",2021-08-09 19:15:53.499761-04:00
82,83. Nami Japanese Seafood Restaurant,4.5 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:15:53.499761-04:00
83,84. Pearl Diver,4.0 of 5 bubbles,"Seafood, Canadian",2021-08-09 19:15:53.499761-04:00
84,85. Hothouse,4.0 of 5 bubbles,"International, Canadian",2021-08-09 19:15:53.515386-04:00
85,86. Mystic Muffin,4.5 of 5 bubbles,"Fast food, Canadian",2021-08-09 19:15:53.515386-04:00
86,87. Pukka,4.5 of 5 bubbles,"Indian, Asian",2021-08-09 19:15:53.515386-04:00
87,88. Cafe Boulud Toronto,4.0 of 5 bubbles,"French, European",2021-08-09 19:15:53.515386-04:00
88,89. The Keg,4.5 of 5 bubbles,"Steakhouse, Canadian",2021-08-09 19:15:53.515386-04:00
89,90. The Senator Restaurant,4.0 of 5 bubbles,"American, Canadian",2021-08-09 19:15:53.515386-04:00
90,91. Planta Yorkville,4.0 of 5 bubbles,Canadian,2021-08-09 19:15:59.525979-04:00
91,92. The Queen and Beaver Public House,4.0 of 5 bubbles,"Bar, British",2021-08-09 19:15:59.525979-04:00
92,93. Cactus Club Cafe First Canadian Place,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:15:59.525979-04:00
93,94. Sushi-Ya Japanese,4.5 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:15:59.525979-04:00
94,95. Mamakas,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:59.525979-04:00
95,96. Quinn's Steakhouse,4.0 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:59.525979-04:00
96,97. Amsterdam BrewHouse - On the Lake,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:15:59.525979-04:00
97,98. Azure Restaurant & Bar at the Intercontinental Toronto Centre,4.0 of 5 bubbles,"American, Canadian",2021-08-09 19:15:59.525979-04:00
98,99. Trattoria Nervosa,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:59.525979-04:00
99,100. Indie Ale House,4.5 of 5 bubbles,"American, Brew Pub",2021-08-09 19:15:59.525979-04:00
100,101. Scaddabush Italian Kitchen & Bar,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:59.525979-04:00
101,102. Scaramouche Pasta Bar & Grill,4.5 of 5 bubbles,Contemporary,2021-08-09 19:15:59.525979-04:00
102,103. Prince Japanese Steak House,4.5 of 5 bubbles,"Steakhouse, Sushi",2021-08-09 19:15:59.525979-04:00
103,104. Bannock,4.0 of 5 bubbles,"Contemporary, Canadian",2021-08-09 19:15:59.525979-04:00
104,105. Little Anthony's,4.0 of 5 bubbles,"Italian, Mediterranean",2021-08-09 19:15:59.525979-04:00
105,106. The Oxley,4.0 of 5 bubbles,"Bar, British",2021-08-09 19:15:59.525979-04:00
106,107. Pantheon Restaurant,4.5 of 5 bubbles,"Seafood, Mediterranean",2021-08-09 19:15:59.525979-04:00
107,108. Mother's Dumplings,4.0 of 5 bubbles,"Chinese, Asian",2021-08-09 19:15:59.525979-04:00
108,109. Gusto 101,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:15:59.525979-04:00
109,110. le Batifole,4.5 of 5 bubbles,"French, European",2021-08-09 19:15:59.525979-04:00
110,111. SOCO Kitchen + Bar,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:15:59.525979-04:00
111,112. Sassafraz,4.0 of 5 bubbles,Canadian,2021-08-09 19:15:59.525979-04:00
112,113. Cora's,4.0 of 5 bubbles,"American, Canadian",2021-08-09 19:15:59.525979-04:00
113,114. Little India Restaurant,4.0 of 5 bubbles,"Indian, Asian",2021-08-09 19:15:59.525979-04:00
114,115. Harbour 60 Toronto,4.0 of 5 bubbles,"American, Steakhouse",2021-08-09 19:15:59.525979-04:00
115,116. Cluny Bistro,4.0 of 5 bubbles,"French, European",2021-08-09 19:15:59.525979-04:00
116,117. Earl's Kitchen & Bar,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:15:59.525979-04:00
117,118. Bloom Restaurant,4.5 of 5 bubbles,"Latin, Cuban",2021-08-09 19:15:59.525979-04:00
118,119. Rooftop Bar - Park Hyatt,4.5 of 5 bubbles,"Bar, Canadian",2021-08-09 19:15:59.525979-04:00
119,120. Blu Ristorante,4.5 of 5 bubbles,"Italian, Mediterranean",2021-08-09 19:15:59.525979-04:00
120,121. Enoteca Sociale,4.5 of 5 bubbles,Italian,2021-08-09 19:16:05.592111-04:00
121,122. SOTTO SOTTO Ristorante,4.0 of 5 bubbles,Italian,2021-08-09 19:16:05.592111-04:00
122,123. Utsav,4.5 of 5 bubbles,Indian,2021-08-09 19:16:05.592111-04:00
123,124. Barque Smokehouse,4.0 of 5 bubbles,"American, Southwestern",2021-08-09 19:16:05.592111-04:00
124,125. Biff's Bistro,4.0 of 5 bubbles,"French, European",2021-08-09 19:16:05.592111-04:00
125,126. The 3 Brewers,4.0 of 5 bubbles,"Gastropub, Brew Pub",2021-08-09 19:16:05.592111-04:00
126,127. Red Lobster,4.0 of 5 bubbles,"American, Seafood",2021-08-09 19:16:05.592111-04:00
127,128. Southern Accent,4.5 of 5 bubbles,"American, Cajun & Creole",2021-08-09 19:16:05.592111-04:00
128,129. Trattoria Fieramosca,4.5 of 5 bubbles,"Italian, Mediterranean",2021-08-09 19:16:05.592111-04:00
129,130. Mildred's Temple Kitchen,4.0 of 5 bubbles,"Contemporary, Canadian",2021-08-09 19:16:05.592111-04:00
130,131. Ricarda's Toronto,4.5 of 5 bubbles,"Mediterranean, European",2021-08-09 19:16:05.607735-04:00
131,132. Amsterdam Brewery,4.0 of 5 bubbles,"Bar, Pub",2021-08-09 19:16:05.607735-04:00
132,133. Aroma Fine Indian Cuisine,4.0 of 5 bubbles,"Indian, Asian",2021-08-09 19:16:05.607735-04:00
133,134. Chop Steakhouse & Bar,4.0 of 5 bubbles,"American, Steakhouse",2021-08-09 19:16:05.607735-04:00
134,135. ViBo,4.5 of 5 bubbles,"Italian, Contemporary",2021-08-09 19:16:05.607735-04:00
135,136. Salad King Restaurant,4.0 of 5 bubbles,"Asian, Thai",2021-08-09 19:16:05.607735-04:00
136,137. Loose Moose,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:16:05.607735-04:00
137,138. Luma,4.0 of 5 bubbles,"Canadian, Healthy",2021-08-09 19:16:05.607735-04:00
138,139. Opus Restaurant On Prince,4.5 of 5 bubbles,"European, International",2021-08-09 19:16:05.607735-04:00
139,140. Sauvignon Bistro & Bakery Inc,4.5 of 5 bubbles,"French, European",2021-08-09 19:16:05.607735-04:00
140,141. Tabule,4.5 of 5 bubbles,Lebanese,2021-08-09 19:16:05.607735-04:00
141,142. Hokkaido Ramen Santouka,4.0 of 5 bubbles,"Japanese, Asian",2021-08-09 19:16:05.607735-04:00
142,143. Le Papillon on Front,4.0 of 5 bubbles,"American, French",2021-08-09 19:16:05.607735-04:00
143,144. Sansotei Ramen,4.5 of 5 bubbles,"Japanese, Asian",2021-08-09 19:16:05.607735-04:00
144,145. Landing Group,4.0 of 5 bubbles,"Bar, Pub",2021-08-09 19:16:05.607735-04:00
145,146. Cucina di Paisano,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:05.607735-04:00
146,147. Pizzeria Libretto,4.0 of 5 bubbles,Italian,2021-08-09 19:16:05.607735-04:00
147,148. Old Spaghetti Factory,4.0 of 5 bubbles,"Italian, International",2021-08-09 19:16:05.607735-04:00
148,149. Union Restaurant,4.5 of 5 bubbles,Canadian,2021-08-09 19:16:05.607735-04:00
149,150. Golden Thai Restaurant,4.0 of 5 bubbles,"Asian, Thai",2021-08-09 19:16:05.607735-04:00
150,151. Le Paradis Brasserie-Bistro,4.0 of 5 bubbles,"French, European",2021-08-09 19:16:11.810396-04:00
151,152. Fresh,4.5 of 5 bubbles,Canadian,2021-08-09 19:16:11.810396-04:00
152,153. La Vecchia Restaurant,4.0 of 5 bubbles,Italian,2021-08-09 19:16:11.811135-04:00
153,154. Fran's Restaurant & Bar,4.0 of 5 bubbles,"American, International",2021-08-09 19:16:11.811135-04:00
154,155. CC Lounge & Whisky Bar,4.5 of 5 bubbles,"Bar, Canadian",2021-08-09 19:16:11.811135-04:00
155,156. Mistura,4.5 of 5 bubbles,Italian,2021-08-09 19:16:11.811135-04:00
156,157. The Chase Fish and Oyster,4.0 of 5 bubbles,"Seafood, Canadian",2021-08-09 19:16:11.811135-04:00
157,158. Cibo Wine Bar,4.0 of 5 bubbles,"Mediterranean, Italian",2021-08-09 19:16:11.811135-04:00
158,159. La Fenice,4.5 of 5 bubbles,"Italian, Mediterranean",2021-08-09 19:16:11.811135-04:00
159,160. Dumpling House,4.0 of 5 bubbles,"Chinese, Asian",2021-08-09 19:16:11.811135-04:00
160,161. Tabule Middle Eastern Cuisine,4.0 of 5 bubbles,"Mediterranean, Middle Eastern",2021-08-09 19:16:11.811135-04:00
161,162. Hey Lucy Cafe,4.0 of 5 bubbles,"Bar, Pizza",2021-08-09 19:16:11.811135-04:00
162,163. Bangkok Garden Restaurant,4.0 of 5 bubbles,"Asian, Thai",2021-08-09 19:16:11.811135-04:00
163,164. Pizzeria Via Mercanti,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:11.811135-04:00
164,165. Taverna Mercatto,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:11.811135-04:00
165,166. King Taps,4.0 of 5 bubbles,"Bar, Pizza",2021-08-09 19:16:11.811135-04:00
166,167. Bellwoods Brewery,4.5 of 5 bubbles,"Bar, Pub",2021-08-09 19:16:11.811135-04:00
167,168. The Irish Embassy Pub and Grill,4.0 of 5 bubbles,"Irish, Bar",2021-08-09 19:16:11.811135-04:00
168,169. Canyon Creek,4.0 of 5 bubbles,"American, Steakhouse",2021-08-09 19:16:11.811135-04:00
169,170. e11even,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:16:11.811135-04:00
170,171. El Catrin,4.0 of 5 bubbles,Mexican,2021-08-09 19:16:11.811135-04:00
171,172. Chubby's Jamaican Kitchen,4.5 of 5 bubbles,"Caribbean, Jamaican",2021-08-09 19:16:11.811135-04:00
172,173. The Stockyards Smokehouse & Larder,4.5 of 5 bubbles,"American, Barbecue",2021-08-09 19:16:11.812133-04:00
173,174. Il Ponte,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:11.812133-04:00
174,175. Fishman Lobster Clubhouse Restaurant,4.0 of 5 bubbles,"Chinese, Seafood",2021-08-09 19:16:11.812133-04:00
175,176. Figo,4.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:11.812133-04:00
